Quadrat ID,Exposure time,Snake ID,Date in,Time removed ,1 hour sample date,4 hour sample date,24 hour sample date,48 hour sample date,72 hour sample date,6 DAY,7 day sample date,9 DAY,10 day sample date,NEG
A1,2 hour(s),416,8/18/2023,9:48,8/18/2023,8/18/2023,8/19/2023,8/20/2023,8/21/2023,,8/25/2023,,8/28/2023,
A2,100 seconds,416,8/18/2023,9:50,8/18/2023,8/18/2023,8/19/2023,8/20/2023,8/21/2023,,8/25/2023,,8/28/2023,
B1,15 minutes,416,8/19/2023,10:50,8/19/2023,8/19/2023,8/20/2023,8/21/2023,8/22/2023,,8/26/2023,,8/29/2023,
B2,1 hour(s),416,8/19/2023,11:51,8/19/2023,8/19/2023,8/20/2023,8/21/2023,8/22/2023,,8/26/2023,,8/29/2023,8/19/2023
C1,2 hour(s),620,8/19/2023,9:00,8/19/2023,8/19/2023,8/20/2023,8/21/2023,8/22/2023,,8/26/2023,,8/29/2023,
C2,100 seconds,620,8/19/2023,9:06,8/19/2023,8/19/2023,8/20/2023,8/21/2023,8/22/2023,,8/26/2023,,8/29/2023,8/19/2023
D1,15 minutes,620,8/19/2023,9:22,8/19/2023,8/19/2023,8/20/2023,8/21/2023,8/22/2023,,8/26/2023,,8/29/2023,
D2,1 hour(s),620,8/19/2023,10:27,8/19/2023,8/19/2023,8/20/2023,8/21/2023,8/22/2023,,8/26/2023,,8/29/2023,
D3,2 hour(s),627,8/20/2023,10:00,8/20/2023,8/20/2023,8/21/2023,8/22/2023,8/23/2023,,8/27/2023,,8/29/2023,
D4,100 seconds,627,8/20/2023,10:06,8/20/2023,8/20/2023,8/21/2023,8/22/2023,8/23/2023,,8/27/2023,,8/29/2023,8/20/2023
D5,15 minutes,627,8/20/2023,10:22,8/20/2023,8/20/2023,8/21/2023,8/22/2023,8/23/2023,,8/27/2023,8/29/2023,,
D6,1 hour(s),627,8/20/2023,11:23,8/20/2023,8/20/2023,8/21/2023,8/22/2023,8/23/2023,,8/27/2023,8/29/2023,,
E1,2 hour(s),618,8/21/2023,10:10,8/21/2023,8/21/2023,8/22/2023,8/23/2023,8/24/2023,,8/28/2023,,8/31/2023,
E2,100 seconds,618,8/21/2023,10:16,8/21/2023,8/21/2023,8/22/2023,8/23/2023,8/24/2023,,8/28/2023,,8/31/2023,8/21/2023
E3,15 minutes,618,8/21/2023,10:32,8/21/2023,8/21/2023,8/22/2023,8/23/2023,8/24/2023,,8/28/2023,,8/31/2023,
E4,1 hour(s),618,8/21/2023,11:33,8/21/2023,8/21/2023,8/22/2023,8/23/2023,8/24/2023,,8/28/2023,,8/31/2023,
E5,2 hour(s),271,8/22/2023,9:40,8/22/2023,8/22/2023,8/23/2023,8/24/2023,8/25/2023,,8/29/2023,,9/1/2023,
E6,100 seconds,271,8/22/2023,9:46,8/22/2023,8/22/2023,8/23/2023,8/24/2023,8/25/2023,,8/29/2023,,9/1/2023,
F1,15 minutes,271,8/22/2023,10:02,8/22/2023,8/22/2023,8/23/2023,8/24/2023,8/25/2023,,8/29/2023,,9/1/2023,8/22/2023
F2,1 hour(s),271,8/22/2023,11:03,8/22/2023,8/22/2023,8/23/2023,8/24/2023,8/25/2023,,8/29/2023,,9/1/2023,
F3,2 hour(s),565,8/23/2023,8:30,8/23/2023,8/23/2023,8/24/2023,8/25/2023,8/26/2023,8/29/2023,,,9/2/2023,
F4,100 seconds,565,8/23/2023,8:36,8/23/2023,8/23/2023,8/24/2023,8/25/2023,8/26/2023,8/29/2023,,,9/2/2023,
F5,15 minutes,565,8/23/2023,8:52,8/23/2023,8/23/2023,8/24/2023,8/25/2023,8/26/2023,8/29/2023,,,9/2/2023,
F6,1 hour(s),565,8/23/2023,9:55,8/23/2023,8/23/2023,8/24/2023,8/25/2023,8/26/2023,8/29/2023,,,9/2/2023,8/23/2023
G1,2 hour(s),617,8/24/2023,10:56,8/24/2023,8/24/2023,8/25/2023,8/26/2023,8/27/2023,,8/31/2023,,9/3/2023,
G2,100 seconds,617,8/24/2023,11:12,8/24/2023,8/24/2023,8/25/2023,8/26/2023,8/27/2023,,8/31/2023,,9/3/2023,
G3,15 minutes,617,8/24/2023,11:28,8/24/2023,8/24/2023,8/25/2023,8/26/2023,8/27/2023,,8/31/2023,,9/3/2023,
G4,1 hour(s),617,8/24/2023,12:29,8/24/2023,8/24/2023,8/25/2023,8/26/2023,8/27/2023,,8/31/2023,,9/3/2023,
H1,2 hour(s),621,9/1/2023,10:00,9/1/2023,9/1/2023,9/2/2023,9/3/2023,9/4/2023,,9/8/2023,,9/11/2023,
H2,100 seconds,621,9/1/2023,10:06,9/1/2023,9/1/2023,9/2/2023,9/3/2023,9/4/2023,,9/8/2023,,9/11/2023,9/1/2023
I1,15 minutes,621,9/1/2023,10:22,9/1/2023,9/1/2023,9/2/2023,9/3/2023,9/4/2023,,9/8/2023,,9/11/2023,
I2,1 hour(s),621,9/1/2023,11:23,9/1/2023,9/1/2023,9/2/2023,9/3/2023,9/4/2023,,9/8/2023,,9/11/2023,9/1/2023
